Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRI59,OUT049,3856.069824
NCG54,OUT035,2816.897705
FDM44,OUT046,1666.352173
FDT57,OUT018,3046.884521
FDV24,OUT046,2295.890625
FDI50,OUT019,668.8443604
FDS09,OUT035,859.171936
NCC31,OUT027,3512.408936
FDQ07,OUT019,591.0859375
FDC22,OUT017,3024.344238
FDZ56,OUT046,2715.500732
FDZ40,OUT019,200.912796
FDS46,OUT027,2841.053711
DRD24,OUT045,2310.99707
FDV45,OUT017,3137.396973
FDL26,OUT045,2310.161865
FDA56,OUT018,1680.898315
FDN27,OUT046,1812.497559
FDM20,OUT049,3986.411865
FDO16,OUT017,1589.443726
FDL03,OUT035,3134.468262
FDE58,OUT046,1851.712524
FDI02,OUT027,2895.119385
NCC55,OUT019,44.73609924
FDR03,OUT018,2972.142822
FDB14,OUT017,1453.35376
FDR45,OUT013,3844.869629
NCN07,OUT017,2013.245483
FDM51,OUT019,328.5817566
FDT52,OUT027,6073.037109
FDL26,OUT046,2356.615967
NCZ42,OUT046,3502.314697
DRI47,OUT019,438.5460815
FDW40,OUT013,2361.245361
FDN34,OUT046,2732.875
FDS01,OUT035,2965.362793
NCG55,OUT045,1854.698975
FDC11,OUT035,1300.235962
FDX35,OUT018,3047.161621
NCB06,OUT046,2521.893555
FDR09,OUT019,669.1342773
FDC53,OUT017,1617.735718
FDY45,OUT013,3957.210693
FDA22,OUT010,569.6929932
FDE02,OUT035,1578.805298
FDW21,OUT045,1748.7854
FDV34,OUT046,1246.68811
FDS59,OUT049,1695.374878
NCW17,OUT017,2167.386719
NCK54,OUT046,1892.448853
FDG17,OUT019,791.4310913
FDG35,OUT017,2832.570557
FDD08,OUT010,-4.655304909
NCO07,OUT017,3662.23877
FDJ10,OUT010,369.6955261
FDW36,OUT017,1679.297729
FDW21,OUT010,446.3320923
FDY19,OUT017,1863.888672
DRE03,OUT013,715.236084
NCC55,OUT049,706.9309692
FDH52,OUT010,156.0764465
FDO09,OUT017,4227.995605
FDU43,OUT045,3749.235352
FDX09,OUT010,577.0535889
FDH40,OUT019,279.0960388
FDW58,OUT017,1602.377563
FDC47,OUT017,3881.718018
NCR41,OUT035,1536.555786
DRG49,OUT035,4085.534912
FDC52,OUT027,3909.250977
FDY13,OUT046,1232.353516
FDY35,OUT013,715.1033936
FDI35,OUT017,3355.221924
NCU18,OUT049,2425.369385
FDY33,OUT018,2374.433838
FDC15,OUT027,3656.333496
FDU01,OUT049,3027.642822
NCU42,OUT046,2796.55835
NCV29,OUT018,2664.273438
NCY30,OUT017,3047.804443
FDQ46,OUT049,1754.623291
FDG58,OUT027,4028.258545
FDK33,OUT017,3868.555664
NCD07,OUT045,1745.019775
NCX29,OUT027,3962.663086
NCT42,OUT013,2301.491699
DRN59,OUT035,788.0891113
FDI44,OUT035,1271.433105
FDA45,OUT049,2204.83374
FDP31,OUT045,904.5715332
FDY01,OUT046,1877.313843
FDT09,OUT018,1689.651611
DRH03,OUT027,2537.901611
FDA36,OUT018,2462.694336
NCF31,OUT017,2347.460449
FDG14,OUT049,2484.61377
FDG28,OUT027,6084.302246
FDU14,OUT049,4012.515381
FDY47,OUT019,340.8145142
FDI56,OUT049,1446.56958
DRD01,OUT013,811.0358276
FDM22,OUT046,916.2275391
FDH33,OUT013,694.3509521
DRZ24,OUT013,1814.564453
NCQ38,OUT046,1654.220337
FDO16,OUT027,1912.846069
FDU07,OUT027,3975.602783
NCB07,OUT013,2874.427002
FDU48,OUT045,1902.838745
NCM43,OUT045,2642.989258
FDR31,OUT010,609.9145508
DRK49,OUT018,528.9373169
NCI30,OUT010,804.7369385
DRD60,OUT017,3124.121582
NCG19,OUT046,3376.278809
FDH12,OUT035,1704.079956
FDM32,OUT035,1450.706177
FDM27,OUT035,2592.709229
NCU53,OUT027,3790.862549
NCQ18,OUT046,1581.1875
FDS10,OUT013,2906.125488
FDB33,OUT027,4159.964844
FDI12,OUT013,1386.118164
NCW42,OUT013,3729.354248
NCC06,OUT018,1760.264038
FDW02,OUT017,2132.409668
NCD43,OUT017,1779.829102
FDM57,OUT018,1071.942139
FDA58,OUT017,3722.264648
FDK56,OUT046,2972.138672
FDP52,OUT045,3764.62915
FDW20,OUT018,1664.368164
FDS52,OUT049,1641.11853
NCT29,OUT018,1641.488037
NCL54,OUT013,2817.468018
FDC05,OUT045,2896.95752
FDF34,OUT035,3034.705078
FDP03,OUT027,3096.250488
FDD32,OUT010,333.9460449
FDZ10,OUT045,1938.333496
FDZ40,OUT035,928.7197876
FDD51,OUT018,548.2873535
NCY30,OUT019,490.5156555
FDP58,OUT017,3572.177246
FDV49,OUT017,4289.395508
FDY24,OUT019,86.55943298
NCO55,OUT017,1762.541138
FDR13,OUT017,1929.064697
FDS51,OUT017,1004.625549
FDP26,OUT045,1625.480713
NCB54,OUT027,3103.260742
FDF32,OUT017,3192.920166
FDN31,OUT018,2674.378906
DRM48,OUT017,684.9581299
FDN20,OUT049,2817.430176
DRL01,OUT046,3707.716553
FDV56,OUT049,1669.199951
DRH13,OUT027,2675.141113
FDA03,OUT017,2386.471924
FDF47,OUT027,6250.296387
FDX32,OUT046,2470.094238
FDX57,OUT049,1578.940186
NCA30,OUT045,2867.356934
FDO49,OUT013,764.2828369
FDL04,OUT019,267.2010498
DRM48,OUT035,672.0985107
FDR16,OUT013,3619.980225
NCC19,OUT018,2732.160889
NCE42,OUT045,3111.033691
FDY24,OUT017,1221.424561
FDH19,OUT049,2771.068359
FDJ46,OUT013,2761.375244
FDN45,OUT010,564.2966919
FDY08,OUT035,2348.223145
FDZ37,OUT035,1470.991089
NCT30,OUT045,750.8544312
DRY23,OUT018,537.1663208
NCZ30,OUT018,1774.283813
FDC44,OUT018,1517.706543
FDB45,OUT035,1551.750732
FDY04,OUT013,2552.630859
FDM27,OUT046,2605.549316
FDZ43,OUT017,4018.664307
FDT39,OUT019,421.7715149
NCC06,OUT019,451.1127014
FDL15,OUT027,4022.884277
FDL57,OUT017,4257.913574
FDU08,OUT046,1560.666504
FDK40,OUT017,4243.603027
FDQ12,OUT010,906.4249878
FDS48,OUT017,2556.914063
FDP09,OUT045,3296.839355
FDW21,OUT049,1693.17334
FDY25,OUT035,3134.752441
DRE13,OUT017,1479.060913
FDV43,OUT019,65.67602539
FDD22,OUT045,1678.506714
FDM46,OUT019,286.7494812
NCO30,OUT010,671.262207
FDM25,OUT046,2765.941406
NCN41,OUT049,2006.348511
FDU24,OUT045,1524.135132
FDZ50,OUT046,3001.703125
FDP45,OUT013,3955.029053
NCM54,OUT045,1932.892578
FDW10,OUT019,421.2704773
FDP20,OUT017,1947.328613
FDK32,OUT046,2473.380127
FDN52,OUT049,1401.252441
FDM58,OUT045,1672.342407
FDZ46,OUT027,2999.169678
NCA18,OUT018,1614.252563
FDD35,OUT046,2006.391602
NCK31,OUT035,813.3466797
FDI40,OUT027,2753.480713
FDT50,OUT019,174.0267639
NCT06,OUT046,2560.007813
FDT31,OUT035,3055.183594
FDT45,OUT049,792.1520996
FDT13,OUT045,2976.397461
FDO50,OUT045,1383.536377
NCU18,OUT010,531.7463379
NCR54,OUT049,3195.750488
NCO18,OUT018,2550.271484
FDU09,OUT045,922.7321777
FDT13,OUT018,2668.492432
FDE09,OUT046,1746.824219
NCK53,OUT019,305.4608765
FDG45,OUT049,3772.363525
DRH15,OUT035,740.5795288
FDO21,OUT019,610.6035156
FDD14,OUT027,4875.046387
FDC09,OUT046,1722.013184
FDH45,OUT027,1160.346558
FDV32,OUT046,1196.279297
FDG12,OUT035,1994.055176
FDS32,OUT013,2155.471191
NCL55,OUT018,3238.51123
DRE01,OUT035,3894.827881
DRE15,OUT049,1280.776978
NCL42,OUT045,3843.762695
FDP31,OUT013,876.9693604
FDN33,OUT018,1409.064697
FDZ59,OUT046,2567.432861
FDE45,OUT010,566.2941284
FDJ07,OUT013,1817.997192
FDQ45,OUT018,2656.35498
FDM33,OUT027,5567.683105
FDO15,OUT010,283.67276
FDM46,OUT013,1540.331787
FDR03,OUT045,3414.943359
FDY49,OUT018,2379.443604
FDQ60,OUT045,1798.327393
FDW10,OUT049,2558.272461
FDO51,OUT049,762.7932129
FDJ40,OUT018,1424.585815
FDS20,OUT018,2700.162354
FDU45,OUT013,1850.4552
FDV02,OUT035,2796.521729
FDN09,OUT046,3760.271484
NCM55,OUT027,5149.196777
FDN23,OUT018,2204.553223
FDY31,OUT010,596.168335
FDW03,OUT010,401.3553772
FDD14,OUT046,2905.281738
FDV23,OUT017,1939.916504
DRI03,OUT045,2647.577637
FDN13,OUT035,1427.943726
FDF45,OUT027,1689.611938
FDU46,OUT035,1463.88916
FDB57,OUT049,3673.371338
FDV12,OUT049,1615.753052
FDQ58,OUT013,2300.492188
NCA18,OUT017,1836.715088
FDH52,OUT049,992.4080811
FDM24,OUT018,2123.699219
NCP43,OUT027,4561.222656
NCO18,OUT019,454.1185913
FDM32,OUT017,1366.84668
NCL07,OUT017,635.975769
FDK03,OUT013,4180.200195
FDP59,OUT017,1510.735962
FDQ24,OUT049,4000.302246
FDQ16,OUT018,1375.397705
FDU44,OUT013,2582.156738
FDH28,OUT010,28.83371735
FDV28,OUT019,33.10367966
FDM22,OUT045,897.7929077
FDR56,OUT046,3022.960449
FDV39,OUT049,3024.354004
FDU37,OUT019,339.7421875
FDQ11,OUT010,1013.757263
FDX02,OUT045,3739.900391
NCS42,OUT018,1354.560547
FDY57,OUT027,2564.840576
FDB21,OUT049,3910.157227
FDE28,OUT017,3836.260742
FDQ55,OUT017,1979.433472
FDA48,OUT049,3673.817139
FDZ19,OUT045,2603.178955
NCC43,OUT045,3562.248779
NCV18,OUT046,1544.96582
NCA42,OUT018,2368.82959
FDY45,OUT046,3858.63916
NCC30,OUT045,2751.48999
FDM57,OUT013,1320.290894
FDL09,OUT010,346.9205627
FDB09,OUT027,3190.451904
FDT44,OUT035,1880.859375
NCT06,OUT027,4110.82666
FDX26,OUT049,3168.995361
FDK32,OUT013,2440.766357
DRA12,OUT046,2288.96875
FDO46,OUT010,627.0900879
FDE52,OUT013,1330
NCH42,OUT045,3746.342041
FDV08,OUT035,746.1895142
FDB47,OUT018,3030.572021
FDC28,OUT010,366.2330322
FDD22,OUT046,1859.762085
FDS07,OUT027,3099.17627
DRI13,OUT045,3480.524658
FDG32,OUT018,3446.643066
FDU14,OUT017,4189.758301
FDD28,OUT019,198.0142059
NCP41,OUT017,1734.927002
FDS08,OUT049,2734.051025
FDX47,OUT045,2441.188232
FDC53,OUT019,281.4491272
FDQ19,OUT035,3725.763184
FDL14,OUT045,2351.877686
FDM33,OUT019,585.5617676
FDA51,OUT045,1780.121094
FDZ27,OUT018,684.1279907
FDT04,OUT046,661.5487671
DRC13,OUT049,1913.06311
FDR16,OUT027,5342.972656
FDQ03,OUT027,6006.633301
FDE38,OUT035,2711.585205
DRH23,OUT027,1620.473999
FDT11,OUT019,691.0129395
FDD09,OUT035,3156.951904
FDR40,OUT045,1390.884399
FDX07,OUT017,3150.10083
FDR07,OUT035,1543.036865
FDA51,OUT017,1944.157837
FDT59,OUT019,685.7741699
FDF20,OUT017,3085.360107
FDR13,OUT045,1802.601685
FDY26,OUT049,3735.73999
FDW04,OUT017,1959.750244
FDK52,OUT017,3973.595215
FDN60,OUT049,2653.657715
FDM09,OUT019,458.851532
FDP46,OUT049,1349.410034
FDB50,OUT019,261.2635193
NCQ29,OUT049,3828.735352
FDP16,OUT027,6212.911133
FDX33,OUT018,2305.984863
FDP07,OUT010,636.4141235
FDN22,OUT046,3651.67334
FDF39,OUT049,4401.486328
FDS21,OUT017,961.5108643
NCM42,OUT013,1643.655518
FDK50,OUT019,448.116333
DRF13,OUT027,3921.762451
FDH35,OUT018,2321.314209
FDP60,OUT018,1365.573364
DRJ49,OUT027,3032.870117
NCT42,OUT019,406.7533875
FDE38,OUT049,2705.110596
FDI04,OUT049,3182.54541
NCH54,OUT045,2587.025391
FDT56,OUT049,909.3329468
DRD15,OUT018,3202.393555
FDV58,OUT013,2743.786621
FDP21,OUT049,3219.714111
FDH05,OUT013,3730.848877
FDR10,OUT027,4362.778809
NCP06,OUT045,2224.62915
FDF33,OUT049,1722.96814
DRK37,OUT013,3131.986084
DRH49,OUT045,1234.269531
FDT58,OUT013,2650.196289
FDD41,OUT018,1473.396729
FDP40,OUT018,1708.550415
FDM51,OUT027,2627.215576
FDO45,OUT010,302.7196655
FDW33,OUT010,348.9922485
FDY24,OUT045,1177.958252
FDB10,OUT010,714.253479
FDM40,OUT035,2344.938965
NCI06,OUT017,2972.516357
FDW12,OUT019,413.0856628
FDX48,OUT027,4197.88623
NCW05,OUT027,2588.004883
FDX27,OUT017,1479.586304
DRM37,OUT045,2949.688721
FDA38,OUT045,3506.078613
FDR36,OUT046,750.5112305
FDZ45,OUT046,3025.200928
FDG05,OUT017,2521.442627
FDK28,OUT013,4380.208984
FDV47,OUT045,1245.119995
FDN21,OUT045,2346.841553
FDP20,OUT027,2910.509033
FDI35,OUT045,3152.872314
DRY23,OUT013,690.4061279
FDA56,OUT017,2061.27417
FDB09,OUT013,1837.173706
NCO26,OUT027,2828.166016
FDQ49,OUT018,2168.021729
FDI52,OUT027,3014.165527
FDZ44,OUT027,2894.687744
FDZ09,OUT018,2354.081787
FDY03,OUT049,1859.137573
NCG42,OUT017,2084.057617
DRI13,OUT027,5387.583984
FDQ32,OUT013,1915.669067
FDW16,OUT035,1422.281006
FDU27,OUT046,760.0150757
FDR28,OUT010,551.8032837
FDQ49,OUT010,485.0690002
FDS37,OUT046,1839.16748
FDW26,OUT018,3136.207031
FDX12,OUT018,3340.525879
NCP06,OUT013,2276.010254
FDW45,OUT010,578.5731812
NCN30,OUT049,1535.729736
FDN24,OUT049,811.0697632
NCL41,OUT027,1034.000977
FDR02,OUT019,289.9230347
FDD09,OUT010,683.3052368
FDS33,OUT010,344.0046997
FDU22,OUT045,1872.877686
FDI53,OUT013,2492.763184
DRH01,OUT049,2819.15332
FDX32,OUT013,2362.367676
NCP30,OUT018,568.4976196
FDB60,OUT045,2853.010254
FDB14,OUT049,1430.375
NCP02,OUT035,980.1962891
FDJ10,OUT017,2353.52124
FDG34,OUT046,1770.387085
NCB18,OUT017,1330.019165
FDM16,OUT049,1250.293823
FDW25,OUT018,1295.730713
FDB35,OUT010,347.172699
DRN11,OUT013,2175.450439
FDF41,OUT019,514.694519
FDH16,OUT045,1384.712891
NCQ50,OUT018,3074.336426
DRH23,OUT018,744.2151489
DRJ37,OUT013,2293.381836
DRJ24,OUT027,4965.478027
FDY16,OUT035,3161.761475
FDQ27,OUT045,1866.0896
FDZ33,OUT045,2325.748779
FDF29,OUT045,2002.809204
FDA08,OUT049,2629.602295
FDG31,OUT046,962.15802
FDE34,OUT019,539.4732666
NCR30,OUT027,2001.406738
FDV33,OUT035,4180.870605
DRZ24,OUT018,1690.703857
NCL54,OUT035,2918.002441
FDR12,OUT049,2954.417969
NCC54,OUT046,3573.60083
DRN59,OUT013,703.1587524
FDX50,OUT019,327.585907
FDV31,OUT027,4907.301758
NCA29,OUT027,4788.005371
FDW60,OUT049,2886.705078
FDX08,OUT017,3201.871338
DRD49,OUT013,3590.182861
FDD33,OUT046,3505.417236
FDW35,OUT013,690.8045654
FDJ36,OUT017,1716.405151
FDV51,OUT035,2782.901611
FDW36,OUT046,1651.325439
FDH35,OUT046,2548.164307
NCS30,OUT027,2733.454346
FDN49,OUT017,678.9785767
FDL08,OUT018,3298.410156
FDI09,OUT013,3570.698975
FDP19,OUT018,1679.626709
FDU21,OUT010,-4.309195518
NCP41,OUT045,1603.165283
FDY10,OUT013,1777.330566
FDP12,OUT018,505.2333679
NCN26,OUT049,1895.900513
FDK44,OUT013,2735.25708
FDC28,OUT049,1645.283936
FDJ41,OUT027,6337.979004
NCT29,OUT035,2024.475586
NCH42,OUT019,690.4035034
FDU60,OUT018,2308.436279
FDS02,OUT045,2981.979248
FDC51,OUT046,1995.521729
FDU03,OUT013,3007.861328
FDX39,OUT045,3586.330566
NCY05,OUT010,42.40988159
NCL06,OUT027,5727.641113
FDD32,OUT035,1247.408936
NCN41,OUT045,1905.852539
NCX53,OUT049,2355.207764
FDU57,OUT019,383.3139648
FDQ23,OUT046,1740.813843
FDQ52,OUT045,4098.425781
FDC14,OUT045,664.3287964
FDY09,OUT035,3029.135742
FDQ28,OUT045,2514.476563
FDV25,OUT046,3931.841309
FDJ07,OUT035,1963.236084
DRB25,OUT049,1678.304199
FDK52,OUT019,650.7804565
FDY52,OUT027,1699.47644
FDB28,OUT046,3008.687256
FDT36,OUT035,663.0933228
FDV25,OUT017,3967.022949
NCN07,OUT027,3326.108643
FDC57,OUT017,3110.385498
FDQ03,OUT018,3179.378662
FDU23,OUT017,2805.382568
NCX41,OUT035,3646.800781
NCD06,OUT035,777.576416
FDW08,OUT045,1670.283691
NCU29,OUT017,2510.333008
NCE06,OUT013,2361.510742
FDV52,OUT010,370.9428101
FDB02,OUT017,2862.47998
NCR18,OUT045,670.2519531
FDK16,OUT049,1548.423462
NCQ29,OUT010,838.9083252
FDZ01,OUT019,295.0408325
FDW27,OUT035,2373.533447
FDD17,OUT018,3184.039551
FDW39,OUT013,2754.969971
DRH59,OUT045,1133.72229
FDS52,OUT013,1598.60083
FDU40,OUT027,6353.265137
NCF54,OUT013,2735.440918
FDH46,OUT045,1621.420166
NCP14,OUT049,1733.688843
FDH50,OUT049,3169.61499
DRF15,OUT010,552.6585693
FDV27,OUT027,2409.452393
NCJ06,OUT049,1962.672974
FDN02,OUT018,3116.943604
FDQ51,OUT049,805.2845459
FDQ07,OUT017,3992.888428
FDS45,OUT049,1907.021606
NCJ06,OUT045,1872.925171
FDD36,OUT035,2032.380493
FDY25,OUT045,3066.161865
FDU52,OUT046,2401.84668
DRK47,OUT017,4022.797119
NCL30,OUT017,2026.406128
FDN22,OUT035,3992.038086
NCF30,OUT027,3151.009766
FDK03,OUT035,4337.132813
FDT45,OUT017,873.9221191
NCC54,OUT027,5824.534668
FDP08,OUT018,2782.54834
FDU44,OUT046,2687.136963
DRG39,OUT035,829.508606
FDU32,OUT049,1945.012085
FDY27,OUT049,2868.399658
NCP54,OUT013,1941.906128
NCZ41,OUT049,1960.036865
DRL49,OUT013,2163.092285
FDI05,OUT018,1175.250854
FDY56,OUT045,3835.727783
DRC13,OUT013,1803.347168
NCV29,OUT017,2971.776367
FDR24,OUT049,1346.313965
FDZ34,OUT018,2701.090576
FDP37,OUT035,2037.154541
FDX08,OUT027,5049.560059
FDS57,OUT045,2353.749268
NCG18,OUT049,1812.588013
FDK25,OUT018,2351.614014
FDH53,OUT049,1256.582642
DRI59,OUT018,3223.751221
FDA52,OUT046,2715.602783
FDT20,OUT010,22.23421669
FDE36,OUT019,747.9138794
FDI24,OUT017,2875.262451
FDB28,OUT018,2791.065186
FDV11,OUT017,2793.190918
FDP01,OUT046,2306.477295
FDD34,OUT027,3768.501953
FDJ50,OUT027,1535.226563
FDZ44,OUT013,1782.849365
DRO59,OUT035,1279.990479
DRB48,OUT045,647.7214966
FDR21,OUT018,2596.41748
NCE42,OUT010,1070.042969
FDO23,OUT046,1420.883789
NCE30,OUT018,3063.54541
FDQ22,OUT035,663.6947632
FDY01,OUT045,1795.977661
FDS08,OUT017,2674.255127
FDG28,OUT018,3197.341553
FDQ51,OUT018,635.8338013
FDB05,OUT017,4016.935303
FDO56,OUT049,1860.481812
FDE02,OUT018,1334.605835
FDN45,OUT017,3751.85376
FDS09,OUT013,804.0297241
NCA54,OUT018,2516.329102
FDP09,OUT010,739.4521484
FDC53,OUT045,1493.109375
NCM55,OUT017,3177.95459
FDL09,OUT018,2351.819824
FDA11,OUT019,282.3222656
FDA50,OUT045,1454.371338
FDC23,OUT017,3006.876221
FDE22,OUT049,2642.842285
FDD23,OUT046,3016.814697
NCA29,OUT049,2939.335205
FDK38,OUT046,2401.756836
DRC13,OUT046,1897.173096
NCP43,OUT049,2949.345947
FDX28,OUT049,1645.944092
FDF08,OUT049,1410.115356
FDZ33,OUT046,2363.941895
FDD10,OUT049,2757.99707
FDO58,OUT017,2587.631104
FDI50,OUT017,4015.491943
FDO58,OUT045,2486.814697
FDX08,OUT013,3018.178223
NCK17,OUT010,5.612510681
FDF39,OUT035,4459.605469
FDU45,OUT010,408.7051697
NCJ18,OUT018,1607.753662
DRC27,OUT019,613.8703003
DRC25,OUT035,1497.70166
FDU59,OUT035,2400.888672
FDU28,OUT035,3109.141846
NCP30,OUT046,671.6514282
FDB39,OUT018,740.6864014
FDE41,OUT013,1329.549561
DRH11,OUT010,145.6950226
FDA58,OUT045,3622.057861
FDU50,OUT046,1874.435303
FDM34,OUT013,1932.243652
FDM44,OUT027,2629.667969
FDR39,OUT045,2841.139648
FDM25,OUT045,2693.171143
FDQ49,OUT049,2411.706787
DRH25,OUT018,731.0829468
FDM09,OUT027,4374.062988
FDL44,OUT019,500.0127563
NCR42,OUT018,472.0864563
DRL59,OUT046,827.2684937
FDX43,OUT013,2532.197754
DRK47,OUT010,881.4485474
FDU48,OUT018,1601.703491
FDY12,OUT045,776.2047729
NCN43,OUT018,1693.089111
NCM55,OUT018,2639.864014
FDQ21,OUT027,2958.716797
FDX13,OUT035,4187.845215
NCK30,OUT027,5766.738281
FDG20,OUT049,2832.463135
DRG27,OUT017,691.8004761
FDY14,OUT018,3771.54126
FDP59,OUT035,1508.766113
FDU60,OUT017,2706.22583
NCC18,OUT019,427.1690979
DRJ39,OUT017,3645.945557
FDS07,OUT049,1905.170898
FDM08,OUT027,5772.476074
FDP51,OUT045,1933.268799
FDU16,OUT035,1351.717407
FDH12,OUT013,1680.982544
DRE48,OUT010,691.8272095
NCL42,OUT027,5686.220215
